,10.0,1.0,0.1,0.01
0,0.8343125734430082,0.7314923619271445,0.6568742655699178,0.6351351351351351
1,0.8343125734430082,0.7773207990599295,0.7356051703877791,0.7085781433607521
2,0.8343125734430082,0.7855464159811986,0.7444183313748531,0.7220916568742656
3,0.8490011750881316,0.7808460634547592,0.7391304347826086,0.718566392479436
4,0.8519388954171563,0.7949471210340776,0.754406580493537,0.7232667450058754
5,0.8531139835487661,0.7984723854289072,0.7579318448883666,0.7332549941245593
6,0.8595769682726204,0.799647473560517,0.7579318448883666,0.736192714453584
7,0.8531139835487661,0.8043478260869565,0.7626321974148061,0.7403055229142186
8,0.863689776733255,0.7984723854289072,0.7532314923619271,0.7291421856639247
9,0.8730904817861339,0.8237367802585194,0.7655699177438308,0.7414806110458284
10,0.8772032902467685,0.8113983548766157,0.7649823736780259,0.7385428907168038
11,0.8730904817861339,0.8149236192714454,0.7720329024676851,0.745593419506463
12,0.8730904817861339,0.8155111633372503,0.7555816686251469,0.7303172737955347
13,0.8877790834312573,0.8307873090481787,0.7655699177438308,0.7385428907168038
14,0.8848413631022327,0.8231492361927144,0.77262044653349,0.7467685076380729
15,0.8713278495887191,0.8196239717978848,0.7667450058754407,0.7485311398354877
16,0.8860164512338425,0.8296122209165687,0.781433607520564,0.7438307873090482
17,0.8866039952996475,0.8296122209165687,0.7890716803760282,0.7479435957696827
18,0.882491186839013,0.8296122209165687,0.7767332549941246,0.7508813160987075
19,0.8901292596944771,0.836075205640423,0.7755581668625147,0.7491186839012925
20,0.8842538190364277,0.8319623971797885,0.7749706227967098,0.7497062279670975
21,0.8830787309048178,0.8466509988249119,0.7914218566392479,0.7608695652173914
22,0.8889541715628673,0.8378378378378378,0.7873090481786134,0.7532314923619271
23,0.8913043478260869,0.8337250293772033,0.7878965922444183,0.7561692126909518
24,0.8942420681551116,0.836075205640423,0.790834312573443,0.7608695652173914
25,0.8842538190364277,0.8325499412455935,0.7961222091656874,0.7585193889541716
26,0.8971797884841363,0.8425381903642774,0.7873090481786134,0.7555816686251469
27,0.8936545240893067,0.8466509988249119,0.7925969447708578,0.7567567567567568
